CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-25 10:45:00,5.0,3666.0,1.0,42.0,389316000.0,493036000.0,30.0,49.0,40.666666666666664,201033001.7711522,200257705.26721373,243440.38073323766,242083.64273255572
2018-08-25 11:00:00,0.0,3835.0,3.0,35.0,384596000.0,497748000.0,26.0,51.0,40.666666666666664,203118434.6887821,202453286.7762234,235765.77356251012,234541.4011929622
2018-08-25 11:15:00,5.0,3918.0,0.0,36.0,384604000.0,497736000.0,30.0,51.0,41.5,214697781.87399167,213944301.55603114,249579.72851290292,248452.39772068133
2018-08-25 11:30:00,2.0,3985.0,0.0,35.0,389300000.0,493024000.0,30.0,50.0,41.333333333333336,229904423.04810926,228626470.44115305,264225.0369726015,262611.85995140293
2018-08-25 11:45:00,3.0,4032.0,1.0,34.0,384652000.0,497684000.0,30.0,50.0,41.166666666666664,225833721.54143888,224940364.1651691,261190.6516003736,259893.30757129396
2018-08-25 12:00:00,3.0,4319.0,0.0,43.0,384760000.0,497564000.0,26.0,50.0,40.5,231955923.6452348,231184554.82704672,268216.100227079,267049.453306593
2018-08-25 12:15:00,1.0,4376.0,0.0,36.0,384768000.0,497560000.0,26.0,50.0,40.5,247156826.75500965,245816449.66287223,286694.75075686333,285191.6330083731
2018-08-25 12:30:00,1.0,4402.0,0.0,37.0,391580000.0,490744000.0,30.0,51.0,41.5,255215023.64982456,254245995.11786985,293956.21920447866,292899.0794118306
2018-08-25 12:45:00,2.0,4428.0,2.0,35.0,384776000.0,497544000.0,30.0,50.0,41.333333333333336,266449314.75071606,265045807.25843614,304802.1918111093,303382.32564719405
2018-08-25 13:00:00,0.0,4378.0,1.0,38.0,384772000.0,497544000.0,30.0,50.0,41.166666666666664,274718228.82633334,273280084.77463233,312578.4251279396,310893.1159847222
2018-08-25 13:15:00,4.0,4340.0,3.0,35.0,384864000.0,497448000.0,26.0,50.0,40.5,253459895.47767067,252189706.58134973,292119.71037331905,290716.25671610143
2018-08-25 13:30:00,0.0,4265.0,0.0,35.0,384740000.0,497548000.0,26.0,51.0,40.833333333333336,261409227.37195,260250178.89173254,297559.72915282444,296155.89323686116
2018-08-25 13:45:00,0.0,4238.0,1.0,34.0,384696000.0,497616000.0,30.0,51.0,41.5,251008207.13207123,249878329.94417852,286464.58531705994,285113.5560927421
2018-08-25 14:00:00,0.0,4143.0,3.0,36.0,384720000.0,497592000.0,30.0,50.0,41.333333333333336,244316951.60548094,243751334.00698295,278952.69693965174,277865.5041669967
2018-08-25 14:15:00,2.0,4093.0,0.0,32.0,384724000.0,497592000.0,30.0,50.0,41.166666666666664,236381519.96833593,235471315.61434716,270631.74742199975,269266.19780695153
2018-08-25 14:30:00,22.0,4006.0,0.0,35.0,384728000.0,497576000.0,26.0,50.0,40.5,242366506.76157632,241517847.37294766,275305.9069093264,274075.84455617605
2018-08-25 14:45:00,39.0,3916.0,4.0,27.0,384752000.0,497552000.0,26.0,51.0,40.666666666666664,239089372.78240657,238077388.6645007,271451.9663238138,270244.48781942495
2018-08-25 15:00:00,3.0,3948.0,1.0,34.0,384772000.0,497520000.0,30.0,52.0,41.666666666666664,246237844.3774876,245288189.67917246,278874.8503699426,277706.04345636803
2018-08-25 15:15:00,4.0,3852.0,1.0,38.0,384780000.0,497512000.0,30.0,50.0,41.333333333333336,256548571.52027756,254914934.33510122,288984.4753450046,287171.1704732283
2018-08-25 15:30:00,5.0,3779.0,2.0,37.0,385304000.0,496992000.0,30.0,50.0,41.166666666666664,255695752.46891692,254366549.6751738,289126.3310605935,287565.92433364503
2018-08-25 15:45:00,3.0,3795.0,1.0,38.0,384668000.0,497624000.0,30.0,50.0,41.166666666666664,257289005.95453525,255659721.40372455,289934.4964256124,288251.9606149096
2018-08-25 16:00:00,0.0,3860.0,0.0,33.0,384648000.0,497648000.0,26.0,51.0,40.666666666666664,254746389.3307331,253780125.1852174,287105.09513753647,285969.164836161
2018-08-25 16:15:00,1.0,3839.0,0.0,32.0,384716000.0,497568000.0,30.0,51.0,41.5,251400211.8405183,250399703.76579276,283798.62812211644,282699.74046568427
2018-08-25 16:30:00,2.0,3827.0,0.0,30.0,384708000.0,497564000.0,30.0,50.0,41.166666666666664,249426015.02320167,248415853.88223657,281237.8365743002,280189.28137924976
2018-08-25 16:45:00,0.0,3808.0,5.0,30.0,384704000.0,497572000.0,26.0,50.0,40.5,239371891.47540933,238606705.21144888,272704.2171665359,271646.2335816368
2018-08-25 17:00:00,2.0,3819.0,1.0,31.0,384728000.0,497548000.0,26.0,50.0,40.333333333333336,240797501.67496425,240020211.24636075,272790.5231194554,271742.18582650635
2018-08-25 17:15:00,0.0,3775.0,2.0,31.0,384696000.0,497584000.0,26.0,51.0,40.666666666666664,255177275.0825486,254262003.7423651,286861.55800248036,287646.73044432246
2018-08-25 17:30:00,0.0,3732.0,2.0,32.0,384704000.0,497568000.0,30.0,51.0,41.5,239826846.58473817,239274749.99842426,270744.46857106674,270093.9229982043
2018-08-25 17:45:00,4.0,3675.0,1.0,31.0,384720000.0,497552000.0,30.0,50.0,41.166666666666664,233662432.9749407,232984075.3436429,263253.67560554063,262364.87159849796
2018-08-25 18:00:00,1.0,3659.0,1.0,30.0,384720000.0,497552000.0,30.0,50.0,41.166666666666664,231161378.48908067,230514461.6509694,260306.82327132203,259268.10081529265
2018-08-25 18:15:00,1.0,3605.0,0.0,28.0,384720000.0,497548000.0,30.0,50.0,41.333333333333336,234346495.63963497,233575241.8084961,263069.1160741706,262503.5783935237
2018-08-25 18:30:00,1.0,3563.0,4.0,27.0,384712000.0,497556000.0,30.0,50.0,41.666666666666664,225978337.62443927,225236505.8826537,256238.09355479182,255339.2950141809
2018-08-25 18:45:00,1.0,3580.0,3.0,28.0,384732000.0,497536000.0,26.0,48.0,39.833333333333336,207204196.3376159,206480958.91196513,236522.87561763512,235591.50606633603
2018-08-25 19:00:00,3.0,3562.0,0.0,30.0,384728000.0,497540000.0,26.0,47.0,38.5,218091572.4353725,217357822.02508137,246462.09207534188,245351.30559696403
2018-08-25 19:15:00,1.0,3545.0,2.0,29.0,384728000.0,497544000.0,26.0,47.0,38.333333333333336,219125244.88090348,218500347.48335126,246626.57925893314,245945.93727837375
2018-08-25 19:30:00,5.0,3498.0,2.0,28.0,384724000.0,497536000.0,26.0,47.0,38.166666666666664,213977292.92433795,213597055.60958675,240955.4286685121,240756.30182139057
2018-08-25 19:45:00,6.0,3481.0,0.0,26.0,384724000.0,497544000.0,26.0,47.0,38.0,218169673.00856164,217503585.34709308,246198.85799701035,245226.0478836173
2018-08-25 20:00:00,1.0,3447.0,0.0,27.0,384732000.0,497536000.0,26.0,46.0,37.833333333333336,194795853.89643097,193941397.74365956,221784.3960401475,220565.8129693141
2018-08-25 20:15:00,1.0,3423.0,0.0,26.0,384724000.0,497544000.0,26.0,46.0,37.833333333333336,218242634.63117784,217579475.669766,246048.137092246,244888.0263190285
2018-08-25 20:30:00,5.0,3385.0,0.0,27.0,384720000.0,497552000.0,26.0,46.0,37.833333333333336,222731533.23438692,222061621.0869016,249545.04848565633,248603.3853672059
2018-08-25 20:45:00,0.0,3343.0,1.0,28.0,384656000.0,497620000.0,26.0,46.0,37.833333333333336,224673016.94172108,223730640.38808346,251361.67712133334,250068.41024819136
2018-08-25 21:00:00,3.0,3296.0,2.0,28.0,384656000.0,497612000.0,26.0,46.0,37.833333333333336,225715759.98205602,225061847.77271396,251247.75071778533,250318.4813404347
2018-08-25 21:15:00,1.0,3205.0,3.0,29.0,389404000.0,492864000.0,26.0,46.0,37.833333333333336,193737962.01790503,193324995.96320152,219916.21824666767,219113.86406369344
2018-08-25 21:30:00,1.0,3162.0,0.0,26.0,384640000.0,497612000.0,26.0,46.0,37.833333333333336,203801666.75530297,203350188.62623623,230199.7513016777,229368.1776531407
2018-08-25 21:45:00,3.0,3102.0,0.0,27.0,384652000.0,497616000.0,26.0,46.0,37.833333333333336,110096153.76977575,109533605.48930904,128241.38770117082,127336.51995370946
2018-08-25 22:00:00,0.0,3021.0,2.0,25.0,384616000.0,497656000.0,26.0,47.0,38.833333333333336,118955095.32408382,118610686.97035196,137305.11406938737,136536.61130276535
2018-08-25 22:15:00,2.0,2964.0,0.0,26.0,384608000.0,497652000.0,30.0,49.0,40.666666666666664,118796112.13658641,118627657.19213048,137505.54627147355,137207.45230159958
2018-08-25 22:30:00,1.0,2900.0,0.0,26.0,384608000.0,497656000.0,26.0,48.0,39.833333333333336,141422201.6747934,140832772.35072994,161234.37790846112,160616.1400117464
2018-08-25 22:45:00,1.0,2846.0,0.0,27.0,384340000.0,497932000.0,26.0,47.0,38.333333333333336,210975630.77594227,210603623.42586052,234693.10365304624,234056.5264054868
2018-08-25 23:00:00,2.0,2825.0,0.0,27.0,384312000.0,497952000.0,26.0,46.0,37.833333333333336,217495336.26981324,217412771.3994568,240744.0615087116,240452.01335231535
2018-08-25 23:15:00,4.0,2763.0,4.0,24.0,384352000.0,497904000.0,26.0,46.0,37.833333333333336,215275257.14472848,214765937.5756814,237793.70800359364,237059.39180920363
2018-08-25 23:30:00,1.0,2689.0,1.0,24.0,384356000.0,497904000.0,26.0,46.0,37.833333333333336,211148874.96362025,210710282.43886828,233691.00189118145,232970.35361591223
2018-08-25 23:45:00,1.0,2612.0,1.0,25.0,384364000.0,497904000.0,26.0,46.0,37.833333333333336,216790469.30531824,216570283.90842584,239504.9351222056,239398.34844979143
2018-08-26 00:00:00,0.0,2560.0,1.0,23.0,384364000.0,497896000.0,26.0,46.0,37.833333333333336,207331160.05008936,206961413.5357975,228263.78000772555,227596.46108180837
2018-08-26 00:15:00,1.0,2496.0,2.0,26.0,384316000.0,497956000.0,26.0,46.0,37.833333333333336,196089751.07329616,195687355.1820347,215445.0974220371,214739.73625905043
2018-08-26 00:30:00,2.0,2431.0,0.0,23.0,384324000.0,497940000.0,26.0,46.0,37.833333333333336,164336344.70005885,164068635.94008458,180616.64438018133,179988.93918163353
